dateTime;steps;synced
1651866600;12660;0
1651867200;12809;0
1651867800;12867;0
1651868400;13070;0
1651869000;13270;0
1651872000;13316;0
1651873800;13359;0
1651874400;107;0
1651875600;119;0
1651876800;129;0
1651906800;227;0
1651907400;543;0
1651908000;812;0
1651908600;862;0
1651909200;1080;0
1651909800;1838;0
1651910400;2274;0
1651911000;2743;0
1651911600;2925;0
1651912200;3239;0
1651912800;3586;0
1651913400;3712;0
1651914000;4014;0
1651914600;4035;0
1651915200;4150;0
1651915800;4258;0
1651916400;4596;0
1651917000;5223;0
1651918200;5391;0
1651918800;5405;0
1651919400;5900;0
1651920000;6113;0
1651920600;6177;0
1651921200;6324;0
1651921800;6519;0
1651922400;6609;0
1651923000;6733;0
1651923600;6782;0
1651924200;6976;0
1651924800;7028;0
1651925400;7328;0
1651926000;7993;0
1651926600;8508;0
1651927200;8677;0
1651927800;9024;0
1651928400;9305;0
1651929000;9715;0
1651929600;10032;0
1651930200;10341;0
1651931400;10880;0
1651932000;11559;0
1651932600;11888;0
1651933200;12603;0
1651933800;12662;0
1651934400;13074;0
1651935000;13203;0
1651935600;13443;0
1651936200;13539;0
1651936800;13793;0
1651937400;14289;0
1651938000;14524;0
1651939200;14754;0
1651939800;14936;0
1651940400;15206;0
1651941600;15430;0
1651942200;15726;0
1651942800;15805;0
1651943400;15950;0
1651944000;16093;0
1651944600;16305;0
1651945200;16389;0
1651945800;16409;0
1651946400;16434;0
1651947000;16567;0
1651947600;16633;0
1651948800;16699;0
1651949400;16835;0
1651950000;17003;0
1651950600;17191;0
1651951200;17567;0
1651951800;17878;0
1651952400;18341;0
1651953000;18510;0
1651953600;18570;0
1651954200;18678;0
1651956600;18742;0
1651957200;18783;0
1651957800;18847;0
1651958400;18861;0
1651959000;18875;0
1651987200;46;0
1651987800;102;0
1651988400;242;0
1651989000;879;0
1651989600;1086;0
1651990800;1869;0
1651991400;2127;0
1651992000;2138;0
1651994400;2166;0
1651995000;2898;0
1651995600;3202;0
1651996200;3414;0
1652000400;3555;0
1652001600;3647;0
1652002200;3835;0
1652002800;3939;0
1652008800;4083;0
1652009400;4244;0
1652010600;4387;0
1652011200;4762;0
1652011800;5413;0
1652012400;5434;0
1652014200;5446;0
1652015400;5485;0
1652016000;5665;0
1652016600;5929;0
1652017200;6185;0
1652017800;6393;0
1652018400;6403;0
1652019600;6443;0
1652020200;6572;0
1652020800;6587;0
1652021400;6652;0
1652022000;6675;0
1652022600;6744;0
1652023200;6826;0
1652023800;6878;0
1652024400;7009;0
1652025000;7465;0
1652025600;7550;0
1652026200;7614;0
1652026800;7673;0
1652027400;7926;0
1652028000;8030;0
1652028600;8109;0
1652029200;8276;0
1652029800;8437;0
1652030400;8474;0
1652032200;8540;0
1652032800;8907;0
1652033400;9099;0
1652034000;9187;0
1652035200;9221;0
1652035800;9255;0
1652036400;9395;0
1652037000;9746;0
1652037600;9886;0
1652038800;9953;0
1652041200;9975;0
1652041800;10037;0
1652042400;10218;0
1652071800;28;0
1652072400;160;0
1652073000;244;0
1652073600;386;0
1652074200;447;0
1652074800;520;0
1652075400;601;0
1652076000;628;0
1652076600;1070;0
1652077200;1504;0
1652077800;1861;0
1652078400;2482;0
1652079000;2728;0
1652080800;2772;0
1652085000;2783;0
1652086200;2894;0
1652086800;2968;0
1652087400;3324;0
1652088000;3356;0
1652088600;3457;0
1652089200;3546;0
1652089800;3759;0
1652090400;4060;0
1652091000;4336;0
1652091600;4469;0
1652092200;4833;0
1652092800;4913;0
1652094600;5082;0
1652095200;5255;0
1652095800;5581;0
1652096400;5887;0
1652097000;5999;0
1652097600;6286;0
1652098200;6530;0
1652098800;6691;0
1652100000;6789;0
1652100600;6942;0
1652101200;7055;0
1652101800;7209;0
1652102400;7451;0
1652103000;7590;0
1652103600;7627;0
1652104200;7677;0
1652105400;7706;0
1652107200;7718;0
1652107800;7868;0
1652108400;8017;0
1652109000;8447;0
1652109600;8568;0
1652110200;8623;0
1652110800;8672;0
1652112600;8690;0
1652113200;8783;0
1652113800;9247;0
1652114400;9635;0
1652115000;9810;0
1652115600;10015;0
1652116200;10158;0
1652116800;10631;0
1652117400;10973;0
1652118000;11052;0
1652118600;11307;0
1652119200;11712;0
1652119800;11812;0
1652120400;11825;0
1652121000;11862;0
1652121600;11949;0
1652122200;11959;0
1652122800;12272;0
1652123400;12726;0
1652124000;13062;0
1652124600;13478;0
1652125200;13699;0
1652125800;13973;0
1652127600;14021;0
1652128200;14076;0
1652128800;14161;0
1652129400;14366;0
1652130000;14408;0
1652158800;33;0
1652159400;149;0
1652160000;213;0
1652160600;350;0
1652161200;440;0
1652161800;502;0
1652162400;646;0
1652163000;819;0
1652163600;1452;0
1652164200;1685;0
1652164800;2069;0
1652165400;2449;0
1652166600;2561;0
1652167200;2671;0
1652167800;2758;0
1652168400;2801;0
1652169000;2954;0
1652169600;3156;0
1652170200;3498;0
1652170800;3677;0
1652171400;3814;0
1652172000;4146;0
1652172600;4630;0
1652173200;4759;0
1652173800;5018;0
1652174400;5321;0
1652175000;5388;0
1652176200;5542;0
1652177400;5636;0
1652178600;5676;0
1652179200;5697;0
1652179800;5727;0
1652181000;5803;0
1652181600;5932;0
1652182200;6094;0
1652182800;6416;0
1652183400;6689;0
1652184000;6864;0
1652184600;6918;0
1652185200;7098;0
1652185800;7274;0
1652186400;7426;0
1652187000;7577;0
1652187600;7633;0
1652188200;7723;0
1652188800;7853;0
1652189400;7999;0
1652190000;8296;0
1652190600;8358;0
1652191200;8444;0
1652191800;8477;0
1652195400;8529;0
1652196000;8572;0
